"company_id","grant_id"
"ES-NMT-393167","GR-A108149-EL1"
"RO-ABR-546213","GR-A108149-EL1"
"RU-HLR-863609","GR-A108149-EL1"
"BG-SBJ-718045","GR-A123085-JO2"
"GB-BSU-386666","GR-A123085-JO2"
"PT-MEZ-737565","GR-A123085-JO2"
"GB-FHO-155437","GR-A124179-GO8"
"ES-RCI-755079","GR-A126765-FR1"
"RU-GRA-617340","GR-A126765-FR1"
"DE-IIX-412314","GR-A130032-ME2"
"FR-DER-181086","GR-A130032-ME2"
"LT-SSI-851965","GR-A130032-ME2"
"RU-AEO-327103","GR-A130032-ME2"
"ES-SSU-717510","GR-A146540-JO0"
"RU-KOB-710456","GR-A146540-JO0"
"GB-TCL-703003","GR-A146799-HA5"
"RU-KAX-469373","GR-A146799-HA5"
"RU-KMH-802646","GR-A146799-HA5"
"AT-FEM-585738","GR-A167801-HO0"
"DE-WAL-133432","GR-A167801-HO0"
"GR-TIW-788339","GR-A167801-HO0"
"PL-TJT-802566","GR-A167801-HO0"
"UA-SOC-441213","GR-A167801-HO0"
"RU-LZI-571123","GR-A170990-CA3"
"RU-TBO-856773","GR-A170990-CA3"
"RU-KOB-710456","GR-A180120-HO7"
"UA-RAP-349757","GR-A180120-HO7"
"ES-LTI-855912","GR-A182363-BR2"
"PL-VOO-323362","GR-A186669-BR9"
"RU-BME-649961","GR-A186669-BR9"
"RU-TTW-767791","GR-A186669-BR9"
"DE-21X-625132","GR-A197906-FL0"
"GR-DUM-534185","GR-A197906-FL0"
"RU-BSA-915226","GR-A197906-FL0"
"IE-OAO-570994","GR-A217681-VA6"
"PL-BIA-774100","GR-A217681-VA6"
"RU-MBD-961987","GR-A217681-VA6"
"ES-GHO-225479","GR-A228955-MA1"
"GB-TVU-478654","GR-A228955-MA1"
"RU-OIA-235814","GR-A228955-MA1"
"DE-IIX-412314","GR-A245420-LO3"
"IT-PAR-729452","GR-A245420-LO3"
"ES-BFI-842081","GR-A245708-WA6"
"IT-SMI-464390","GR-A245708-WA6"
"RU-OBL-493972","GR-A245708-WA6"
"RU-UVI-225207","GR-A245708-WA6"
"LT-TSR-356241","GR-A248732-RE7"
"UA-LAN-667093","GR-A248732-RE7"
"UA-MIT-591104","GR-A248732-RE7"
"DE-WLA-579409","GR-A250348-HO3"
"ES-SSU-717510","GR-A250348-HO3"
"GB-PGR-265834","GR-A250348-HO3"
"CH-ODE-629099","GR-A264667-KR7"
"ES-AFT-628999","GR-A264667-KR7"
"ES-GRA-721781","GR-A264667-KR7"
"ES-RDI-718028","GR-A264667-KR7"
"LT-RNS-168984","GR-A264667-KR7"
"NL-HOL-596118","GR-A265099-LE7"
"BY-PSO-262273","GR-A267276-RY1"
"NO-SCO-641719","GR-A267276-RY1"
