sn,staff_id,department_id
1,ST-64482547-WAW7,7
2,ST-52688924-SBH22,22
3,ST-76152581-CEM10,10
4,ST-98377362-KWG23,23
5,ST-49369977-CMM24,24
6,ST-91263916-AES1,1
7,ST-38803311-JMW21,21
8,ST-30139300-DSM21,21
9,ST-55942150-MHJ19,19
10,ST-80606452-SJJ2,2
11,ST-85912931-MSH9,9
12,ST-89824845-ECB8,8
13,ST-12019092-VTP12,12
14,ST-79869018-TRP9,9
15,ST-48520594-PLP11,11
16,ST-70271955-EDC7,7
17,ST-28489475-DLL23,23
18,ST-82050576-EBB19,19
19,ST-63378253-SMR2,2
20,ST-65525226-BRP20,20
21,ST-10863487-SSM4,4
22,ST-93620478-MJB9,9
23,ST-17006507-DDJ24,24
24,ST-75176403-LEH9,9
25,ST-46232018-TSC3,3
26,ST-37814057-KTA11,11
27,ST-29512143-ETL6,6
28,ST-33407426-PAR22,22
29,ST-95766408-JAL13,13
30,ST-61274522-BLD15,15
31,ST-32743890-ARH18,18
32,ST-87167696-CJK22,22
33,ST-69031447-VAS13,13
34,ST-22617599-NBA5,5
35,ST-81916846-KWH18,18
36,ST-73519922-EJB1,1
37,ST-84521266-WCO14,14
38,ST-40932950-KRK6,6
39,ST-83028389-KJB22,22
40,ST-12131483-RRG18,18
41,ST-46719412-CDD21,21
42,ST-28273869-JJE12,12
43,ST-12673049-BGM20,20
44,ST-93622681-HJP20,20
45,ST-43355139-RRD23,23
46,ST-60798270-JRZ4,4
47,ST-42748297-SDK14,14
48,ST-83893182-JAM19,19
49,ST-29605600-DDP7,7
50,ST-47809460-KEJ14,14
51,ST-22091391-HAP20,20
52,ST-16380013-VDB13,13
53,ST-74222279-BBW6,6
54,ST-17980198-DKM20,20
55,ST-70668851-ITW9,9
56,ST-71006455-BMJ9,9
57,ST-83877092-SWC10,10
58,ST-61253965-KBW15,15
59,ST-71633550-KAF12,12
60,ST-58532701-RDF6,6
61,ST-90404198-DEG4,4
62,ST-61070409-JMG20,20
63,ST-86076954-ADR2,2
64,ST-44997804-GWC11,11
65,ST-31112914-RDL4,4
66,ST-49103114-RKA14,14
67,ST-96144049-CMF18,18
68,ST-63977070-RNS14,14
69,ST-22276467-MAJ18,18
70,ST-58999145-PPR4,4
71,ST-32538227-TCT17,17
72,ST-33026577-BMW9,9
73,ST-38342739-KRJ5,5
74,ST-98493670-SRJ7,7
