sn,staff_id,working_hours,job_level,salary
1,ST-64482547-WAW7,Part-time,Mid,1831.88
2,ST-52688924-SBH22,Part-time,Entry,2039.82
3,ST-76152581-CEM10,Part-time,Mid,840.14
4,ST-98377362-KWG23,Part-time,Senior,8887.39
5,ST-49369977-CMM24,Part-time,Entry,873.11
6,ST-91263916-AES1,Full-time,Executive,25268.16
7,ST-38803311-JMW21,Full-time,Senior,11947.14
8,ST-30139300-DSM21,Full-time,Mid,4320.67
9,ST-55942150-MHJ19,Full-time,Mid,3975.80
10,ST-80606452-SJJ2,Full-time,Mid,3908.77
11,ST-85912931-MSH9,Full-time,Mid,3320.68
12,ST-89824845-ECB8,Part-time,Entry,756.57
13,ST-12019092-VTP12,Full-time,Senior,16723.49
14,ST-79869018-TRP9,Part-time,Senior,9928.71
15,ST-48520594-PLP11,Part-time,Mid,1304.53
16,ST-70271955-EDC7,Part-time,Senior,9724.67
17,ST-28489475-DLL23,Part-time,Mid,1869.64
18,ST-82050576-EBB19,Full-time,Entry,4518.50
19,ST-63378253-SMR2,Part-time,Mid,1455.17
20,ST-65525226-BRP20,Part-time,Entry,2300.03
21,ST-10863487-SSM4,Part-time,Entry,785.18
22,ST-93620478-MJB9,Full-time,Entry,3587.52
23,ST-17006507-DDJ24,Full-time,Senior,17686.51
24,ST-75176403-LEH9,Full-time,Entry,4173.29
25,ST-46232018-TSC3,Full-time,Entry,3211.57
26,ST-37814057-KTA11,Part-time,Senior,6393.75
27,ST-29512143-ETL6,Full-time,Mid,3174.83
28,ST-33407426-PAR22,Part-time,Entry,1139.07
29,ST-95766408-JAL13,Part-time,Entry,1929.70
30,ST-61274522-BLD15,Part-time,Mid,2083.50
31,ST-32743890-ARH18,Part-time,Entry,2139.51
32,ST-87167696-CJK22,Full-time,Entry,4216.87
33,ST-69031447-VAS13,Part-time,Entry,1137.70
34,ST-22617599-NBA5,Full-time,Mid,2692.72
35,ST-81916846-KWH18,Full-time,Mid,3986.03
36,ST-73519922-EJB1,Full-time,Executive,24945.09
37,ST-84521266-WCO14,Full-time,Mid,2591.36
38,ST-40932950-KRK6,Full-time,Entry,3911.20
39,ST-83028389-KJB22,Part-time,Mid,2467.07
40,ST-12131483-RRG18,Part-time,Entry,2395.67
41,ST-46719412-CDD21,Part-time,Entry,1068.89
42,ST-28273869-JJE12,Part-time,Entry,704.48
43,ST-12673049-BGM20,Part-time,Mid,1483.77
44,ST-93622681-HJP20,Full-time,Mid,4217.96
45,ST-43355139-RRD23,Full-time,Entry,3019.77
46,ST-60798270-JRZ4,Part-time,Mid,1842.65
47,ST-42748297-SDK14,Full-time,Senior,15560.88
48,ST-83893182-JAM19,Part-time,Senior,7740.77
49,ST-29605600-DDP7,Part-time,Senior,8345.21
50,ST-47809460-KEJ14,Part-time,Mid,1102.00
51,ST-22091391-HAP20,Part-time,Mid,916.49
52,ST-16380013-VDB13,Full-time,Entry,3179.13
53,ST-74222279-BBW6,Full-time,Senior,12233.03
54,ST-17980198-DKM20,Part-time,Senior,9963.26
55,ST-70668851-ITW9,Part-time,Senior,9742.94
56,ST-71006455-BMJ9,Full-time,Entry,2646.21
57,ST-83877092-SWC10,Part-time,Mid,892.88
58,ST-61253965-KBW15,Part-time,Mid,1849.16
59,ST-71633550-KAF12,Full-time,Mid,3305.52
60,ST-58532701-RDF6,Part-time,Entry,1950.73
61,ST-90404198-DEG4,Full-time,Mid,3043.23
62,ST-61070409-JMG20,Part-time,Mid,1369.54
63,ST-86076954-ADR2,Part-time,Entry,1877.58
64,ST-44997804-GWC11,Full-time,Entry,3975.02
65,ST-31112914-RDL4,Part-time,Senior,6724.75
66,ST-49103114-RKA14,Part-time,Mid,1789.85
67,ST-96144049-CMF18,Full-time,Entry,3228.07
68,ST-63977070-RNS14,Full-time,Senior,15608.15
69,ST-22276467-MAJ18,Part-time,Senior,8098.46
70,ST-58999145-PPR4,Full-time,Entry,3089.67
71,ST-32538227-TCT17,Part-time,Entry,2009.93
72,ST-33026577-BMW9,Part-time,Mid,1598.37
73,ST-38342739-KRJ5,Full-time,Entry,3005.59
74,ST-98493670-SRJ7,Part-time,Senior,7793.20
75,ST-24116421-KTW17,Full-time,Senior,19801.89
76,ST-34178513-JDM4,Part-time,Entry,2339.68
77,ST-33137852-RJM9,Part-time,Entry,1504.95
78,ST-38208444-MSM10,Part-time,Mid,1447.18
79,ST-21953680-FLB6,Part-time,Mid,2235.27
80,ST-74590049-SNL10,Full-time,Entry,2785.43
81,ST-39888641-NCF16,Part-time,Mid,1081.00
82,ST-18860119-ECK18,Full-time,Mid,3752.66
